Budget,Revenue,Title,Average Vote,release_date,Release Year,Starring Actors Popularity
1000000,37600000,Tom Jones,6.1,1963/10/6,1963,0
4000000,41424067,Of Gods and Men,6.5,2010/5/18,2010,245.7277099
3500000,113783,Winter Passing,6.7,2006/2/7,2006,1407.639937
950000,59600000,Dr. No,6.9,1962/10/4,1962,0
3000000,18492362,Super Troopers,6.6,2001/1/18,2001,0
3800000,111731,Saint John of Las Vegas,5.9,2009/6/10,2009,434.2828774
2500000,5535405,Before Sunrise,7.7,1995/1/27,1995,615.5926104
4000000,1104682,Red State,5.9,2011/8/19,2011,2120.973768
4000000,25345000,A Lonely Place to Die,6.2,2011/4/9,2011,310.5657347
4000000,355688,Another Happy Day,6.2,2011/11/18,2011,677.0232442
1800000,25504513,A Nightmare on Elm Street,7.2,1984/11/14,1984,0
3000000,19184015,Martin Lawrence Live: Runteldat,5,2002/8/1,2002,697.4921266
4500000,32000000,Airlift,7.3,2016/1/22,2016,4.480697776
3000000,14980005,Oldboy,8,2003/1/1,2003,0
2400000,5731103,Get on the Bus,7,1996/10/16,1996,363.456037
3500000,44462,Defendor,6.5,2009/9/12,2009,193.4422081
3000000,6804016,Woman Thou Art Loosed,5,2004/9/30,2004,58.65693947
3800000,16800000,The Hunt,7.9,2012/8/28,2012,729.713343
4000000,2365467,Joe,6.5,2014/4/11,2014,4380.961834
4000000,600896,The Signal,5.8,2014/3/15,2014,48.56530118
4000000,44349000,Boyhood,7.5,2014/6/5,2014,951.5924211
1300000,28262574,Taxi Driver,8,1976/2/7,1976,10.35349541
806948,32000000,Psycho,8.2,1960/6/16,1960,0
3860000,64076736,The Grandmaster,6.3,2013/1/8,2013,902.2703888
3730500,6294161,The Sweeney,5.7,2012/9/11,2012,331.3722931
3500000,34705850,The Kids Are All Right,6.5,2010/7/9,2010,980.3255776
3500000,16566240,Blue Valentine,6.9,2010/12/27,2010,244.6873037
3500000,4159678,Troll Hunter,6.7,2010/10/29,2010,0
3000000,18637690,Waiting...,6.2,2005/10/7,2005,382.5577433
3000000,11718595,Dave Chappelle's Block Party,6.4,2005/9/12,2005,213.0147606
3000000,9879971,Tsotsi,6.9,2005/8/18,2005,0
4000000,52425855,The Boy Next Door,4.1,2015/1/23,2015,1484.394186
4000000,187112,Maggie,5.2,2015/5/8,2015,4193.086455
3500000,19504039,Margin Call,6.7,2011/9/28,2011,1958.874649
2000000,54207,Return of the Living Dead 3,5.9,1993/10/1,1993,0
950000,814666,Charly,6.6,1968/9/23,1968,0
1500000,2300000,Repo Man,6.7,1984/2/20,1984,0
2700000,15992615,Before Sunset,7.6,2004/2/10,2004,795.1479519
3200000,5332926,Beginners,6.8,2010/9/11,2010,4998.429776
3000000,3830137,Choke,6,2008/9/26,2008,550.3041932
2600000,3166000,Riding Giants,7.6,2004/7/9,2004,0
3000000,2357852,Fish Tank,6.9,2009/5/14,2009,0
325000,4500000,It Happened One Night,7.7,1934/2/22,1934,0
